id,name,brand,short_description,description,images,price,discount,rating,stock,created_at,updated_at,store_id,store_name,store_description,store_image,store_address,store_owner,store_phoneNumber,store_opens_at,store_closes_at,store_rating,store_created_at,store_updated_at
11,Incredible Soft Chair,"Hodkiewicz, Marquardt and Powlowski",Ipsam esse id.,Quidem impedit exercitationem commodi. Beatae animi eius porro aperiam qui laborum commodi voluptate maxime. Amet velit minima vero tenetur eos. Doloremque accusamus laborum. Blanditiis reiciendis enim ab consequuntur maxime voluptatibus est.,"https://picsum.photos/seed/Malagasy/800/800,https://picsum.photos/seed/Sausages/800/800,https://picsum.photos/seed/incentivize/800/800,https://picsum.photos/seed/Cab/800/800,https://picsum.photos/seed/focus/800/800",88,0,3,50,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),2,"Goldner, Legros and Cormier",Praesentium voluptatem recusandae dignissimos neque ipsum animi. Veniam iste odit aperiam eius deleniti voluptate odit saepe. Incidunt fugit maiores ducimus repellat odio mollitia.,https://picsum.photos/seed/Southeast/800/800,,,692.799.3604 x987,28196,49167,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
12,Recycled Plastic Towels,"Kihn, Hamill and Schmitt",Voluptate nisi molestias.,Neque doloremque dolorum ipsa ad dicta voluptatem minus. Doloribus minima reprehenderit iste quam rerum dolor itaque maiores voluptas. Ipsam laboriosam quam earum quaerat asperiores. Sint impedit expedita amet. Accusantium earum ducimus.,"https://picsum.photos/seed/East/800/800,https://picsum.photos/seed/bifurcated/800/800,https://picsum.photos/seed/Osmium/800/800,https://picsum.photos/seed/synthesizing/800/800,https://picsum.photos/seed/plum/800/800",66,0,3,42,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),2,"Goldner, Legros and Cormier",Praesentium voluptatem recusandae dignissimos neque ipsum animi. Veniam iste odit aperiam eius deleniti voluptate odit saepe. Incidunt fugit maiores ducimus repellat odio mollitia.,https://picsum.photos/seed/Southeast/800/800,,,692.799.3604 x987,28196,49167,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
13,Oriental Rubber Towels,"Price, Stehr and Wisoky",Minus rerum tempore nesciunt minus sequi.,Vel commodi necessitatibus exercitationem reprehenderit exercitationem architecto pariatur reprehenderit. Cum reprehenderit non facere qui doloremque tenetur quo nobis dicta. Reiciendis sequi enim doloribus delectus voluptate vero fuga eius. Quae sapiente aliquam. Labore dolorem a. Iure ab quod quisquam voluptas labore architecto architecto tenetur.,"https://picsum.photos/seed/Specialist/800/800,https://picsum.photos/seed/quantifying/800/800,https://picsum.photos/seed/Diesel/800/800,https://picsum.photos/seed/ivory/800/800,https://picsum.photos/seed/Bronze/800/800",70,0,0,16,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),2,"Goldner, Legros and Cormier",Praesentium voluptatem recusandae dignissimos neque ipsum animi. Veniam iste odit aperiam eius deleniti voluptate odit saepe. Incidunt fugit maiores ducimus repellat odio mollitia.,https://picsum.photos/seed/Southeast/800/800,,,692.799.3604 x987,28196,49167,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
14,Luxurious Wooden Gloves,"Vandervort, Kuphal and Kovacek",Eos voluptatem vel qui culpa fuga officia totam.,Eligendi voluptate voluptatibus quae occaecati explicabo. Quas optio nam aspernatur nesciunt. Eum aliquam commodi sint temporibus harum. Nesciunt vero iure. Itaque aperiam ipsam magni porro. Et ducimus in similique dolorem maxime.,"https://picsum.photos/seed/itaque/800/800,https://picsum.photos/seed/yahoo/800/800,https://picsum.photos/seed/zero/800/800,https://picsum.photos/seed/uncomfortable/800/800,https://picsum.photos/seed/Fish/800/800",30,0,6,17,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),3,Torp and Sons,Totam quisquam repellendus perspiciatis. Recusandae iste ipsam ipsa. Velit quidem iusto culpa totam placeat aut. Distinctio ad ex amet excepturi. Ad ea alias quas voluptas magni ea.,https://picsum.photos/seed/overriding/800/800,,,1-239-725-0696 x552,5342,25416,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
15,Unbranded Soft Hat,Rau - Legros,Quos distinctio totam quos corrupti.,Adipisci velit adipisci illum sapiente possimus consequatur necessitatibus. Sequi beatae consequatur unde beatae. Maxime suscipit aut distinctio sed unde.,"https://picsum.photos/seed/East/800/800,https://picsum.photos/seed/female/800/800,https://picsum.photos/seed/Operative/800/800,https://picsum.photos/seed/Assimilated/800/800,https://picsum.photos/seed/Southwest/800/800",46,0,3,12,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),3,Torp and Sons,Totam quisquam repellendus perspiciatis. Recusandae iste ipsam ipsa. Velit quidem iusto culpa totam placeat aut. Distinctio ad ex amet excepturi. Ad ea alias quas voluptas magni ea.,https://picsum.photos/seed/overriding/800/800,,,1-239-725-0696 x552,5342,25416,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
16,Intelligent Steel Shoes,McKenzie and Sons,Velit pariatur deleniti sequi numquam vitae.,Totam cupiditate facere cum molestias expedita eum soluta. Adipisci excepturi rem sapiente dignissimos doloribus. Delectus repudiandae dicta. Similique consequuntur ipsa. Autem accusamus praesentium dolorem et dolores dolores. Expedita quas eaque.,"https://picsum.photos/seed/Sandy/800/800,https://picsum.photos/seed/Bespoke/800/800,https://picsum.photos/seed/Shoals/800/800,https://picsum.photos/seed/auxiliary/800/800,https://picsum.photos/seed/Granite/800/800",12,0,6,58,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),3,Torp and Sons,Totam quisquam repellendus perspiciatis. Recusandae iste ipsam ipsa. Velit quidem iusto culpa totam placeat aut. Distinctio ad ex amet excepturi. Ad ea alias quas voluptas magni ea.,https://picsum.photos/seed/overriding/800/800,,,1-239-725-0696 x552,5342,25416,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
17,Elegant Fresh Gloves,"Ryan, Lebsack and Ward",Recusandae laudantium tempora suscipit a recusandae similique illum ipsa.,Unde voluptatibus maxime explicabo impedit repellat consequatur voluptatibus possimus. Fugit aliquam corporis ipsum tempore. Repellendus nesciunt sunt doloribus repudiandae voluptatem id recusandae blanditiis quas. Deleniti dolore necessitatibus assumenda mollitia. A totam voluptas deleniti tempora cumque suscipit accusamus. Quas odit nulla quis nam laborum laborum perferendis id error.,"https://picsum.photos/seed/index/800/800,https://picsum.photos/seed/Wooden/800/800,https://picsum.photos/seed/York/800/800,https://picsum.photos/seed/composite/800/800,https://picsum.photos/seed/gosh/800/800",80,0,3,59,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),3,Torp and Sons,Totam quisquam repellendus perspiciatis. Recusandae iste ipsam ipsa. Velit quidem iusto culpa totam placeat aut. Distinctio ad ex amet excepturi. Ad ea alias quas voluptas magni ea.,https://picsum.photos/seed/overriding/800/800,,,1-239-725-0696 x552,5342,25416,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
18,Practical Steel Salad,"Hickle, Stracke and Durgan",Tenetur ratione natus exercitationem explicabo.,Iste autem beatae quo fuga numquam. Illo quam similique cupiditate earum officia adipisci eum illum. In esse tempora laboriosam atque voluptas corrupti. Pariatur odit porro harum at reiciendis.,"https://picsum.photos/seed/Ohio/800/800,https://picsum.photos/seed/Southeast/800/800,https://picsum.photos/seed/vortals/800/800,https://picsum.photos/seed/disintermediate/800/800,https://picsum.photos/seed/red/800/800",56,0,6,77,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),3,Torp and Sons,Totam quisquam repellendus perspiciatis. Recusandae iste ipsam ipsa. Velit quidem iusto culpa totam placeat aut. Distinctio ad ex amet excepturi. Ad ea alias quas voluptas magni ea.,https://picsum.photos/seed/overriding/800/800,,,1-239-725-0696 x552,5342,25416,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
19,Recycled Concrete Towels,"Koss, Mayert and Little",Non alias unde explicabo nisi.,Facere expedita voluptate soluta reiciendis sed commodi eum velit temporibus. Maiores hic tempore beatae nulla doloremque deserunt veritatis. Quos enim eveniet exercitationem.,"https://picsum.photos/seed/card/800/800,https://picsum.photos/seed/Movies/800/800,https://picsum.photos/seed/program/800/800,https://picsum.photos/seed/Hat/800/800,https://picsum.photos/seed/Baby/800/800",90,0,0,43,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),3,Torp and Sons,Totam quisquam repellendus perspiciatis. Recusandae iste ipsam ipsa. Velit quidem iusto culpa totam placeat aut. Distinctio ad ex amet excepturi. Ad ea alias quas voluptas magni ea.,https://picsum.photos/seed/overriding/800/800,,,1-239-725-0696 x552,5342,25416,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
20,Tasty Plastic Chair,Boyer and Sons,Delectus blanditiis quaerat quos quaerat laboriosam.,Accusantium porro non vero amet expedita fugit voluptates consequatur voluptatum. Iure sequi sunt quas voluptatibus assumenda deserunt excepturi vel. Veritatis repellendus soluta ea cum commodi ut vero laborum. Sit vero nisi neque molestiae recusandae soluta.,"https://picsum.photos/seed/enterprise/800/800,https://picsum.photos/seed/Hybrid/800/800,https://picsum.photos/seed/Som/800/800,https://picsum.photos/seed/Metrics/800/800,https://picsum.photos/seed/Smith/800/800",36,0,6,34,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),3,Torp and Sons,Totam quisquam repellendus perspiciatis. Recusandae iste ipsam ipsa. Velit quidem iusto culpa totam placeat aut. Distinctio ad ex amet excepturi. Ad ea alias quas voluptas magni ea.,https://picsum.photos/seed/overriding/800/800,,,1-239-725-0696 x552,5342,25416,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
21,Handcrafted Steel Fish,Roob - Kuhn,Vel tempore tempora facilis nesciunt.,Est reprehenderit minima minus. Veniam repudiandae eligendi. Minus iusto aspernatur nobis consequuntur alias ad laboriosam. Libero temporibus eos animi veritatis eaque mollitia. Tempore nihil animi voluptatem eveniet vero odit praesentium officia. Voluptatem quisquam aliquam maxime nemo aliquid in.,"https://picsum.photos/seed/Transexual/800/800,https://picsum.photos/seed/Lead/800/800,https://picsum.photos/seed/Franc/800/800,https://picsum.photos/seed/mock/800/800,https://picsum.photos/seed/pfft/800/800",44,0,0,10,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),4,Lueilwitz and Sons,Tempora ullam aut aliquam voluptatum totam quos ducimus. Ut odit maiores. Enim veritatis tenetur corporis hic voluptatibus sint.,https://picsum.photos/seed/unscrew/800/800,,,1-535-225-4883 x78776,82951,83734,6,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
22,Practical Frozen Chair,Goodwin LLC,Officiis neque eveniet perferendis necessitatibus consectetur ut iste dolore facilis.,Qui earum necessitatibus officia labore harum cumque dolorem beatae repellat. Earum nam ipsum necessitatibus voluptatum fuga. Itaque eum nostrum ratione numquam non. Voluptatem doloremque quibusdam. Autem non praesentium minus eos minus at facere. Repellendus reprehenderit excepturi aperiam eos error quaerat.,"https://picsum.photos/seed/bypassing/800/800,https://picsum.photos/seed/Hybrid/800/800,https://picsum.photos/seed/engineer/800/800,https://picsum.photos/seed/Executive/800/800,https://picsum.photos/seed/Ergonomic/800/800",48,0,3,79,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),4,Lueilwitz and Sons,Tempora ullam aut aliquam voluptatum totam quos ducimus. Ut odit maiores. Enim veritatis tenetur corporis hic voluptatibus sint.,https://picsum.photos/seed/unscrew/800/800,,,1-535-225-4883 x78776,82951,83734,6,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
23,Elegant Metal Shoes,"Wunsch, Casper and Bernhard",Dolores minima fuga dolore ea accusamus distinctio reiciendis natus officia.,Porro possimus dolore eaque dolor. Sit consequuntur perspiciatis repellendus repellendus iure voluptatum. Totam nihil nostrum qui nisi quidem. Distinctio ipsum accusamus impedit incidunt officiis. Nisi sapiente debitis. Sequi rem cumque fugit totam.,"https://picsum.photos/seed/illo/800/800,https://picsum.photos/seed/Caesium/800/800,https://picsum.photos/seed/crisp/800/800,https://picsum.photos/seed/quicker/800/800,https://picsum.photos/seed/female/800/800",64,0,6,85,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),4,Lueilwitz and Sons,Tempora ullam aut aliquam voluptatum totam quos ducimus. Ut odit maiores. Enim veritatis tenetur corporis hic voluptatibus sint.,https://picsum.photos/seed/unscrew/800/800,,,1-535-225-4883 x78776,82951,83734,6,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
24,Generic Metal Pants,Roberts - O'Kon,Modi occaecati veniam.,Reprehenderit minima rerum beatae doloremque. Quod placeat provident fugit reiciendis nemo vel quas. Saepe sit esse velit. Dolorum eligendi repellat a ut dolorum error tempora. Ad dicta amet occaecati quae dicta natus voluptatibus nihil vero.,"https://picsum.photos/seed/Bicycle/800/800,https://picsum.photos/seed/Chrysler/800/800,https://picsum.photos/seed/deed/800/800,https://picsum.photos/seed/Tobago/800/800,https://picsum.photos/seed/Cambridgeshire/800/800",68,0,0,76,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),4,Lueilwitz and Sons,Tempora ullam aut aliquam voluptatum totam quos ducimus. Ut odit maiores. Enim veritatis tenetur corporis hic voluptatibus sint.,https://picsum.photos/seed/unscrew/800/800,,,1-535-225-4883 x78776,82951,83734,6,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
25,Incredible Bronze Keyboard,Sporer LLC,Minima nostrum expedita.,Ipsa enim ut fugit ea repudiandae cum quos. Dicta ducimus deserunt quam quam impedit. Reiciendis perferendis placeat nisi asperiores labore sint.,"https://picsum.photos/seed/Directives/800/800,https://picsum.photos/seed/Planner/800/800,https://picsum.photos/seed/unto/800/800,https://picsum.photos/seed/dignissimos/800/800,https://picsum.photos/seed/Tacoma/800/800",76,0,3,60,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),4,Lueilwitz and Sons,Tempora ullam aut aliquam voluptatum totam quos ducimus. Ut odit maiores. Enim veritatis tenetur corporis hic voluptatibus sint.,https://picsum.photos/seed/unscrew/800/800,,,1-535-225-4883 x78776,82951,83734,6,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
